id,date,sent_coupon,clicked_coupon,used_coupon,value
0,2009-03-19 11:44:24,True,False,False,39.495120838976874
1,2009-03-12 18:24:58,True,False,False,72.09989333397124
2,2009-03-26 17:11:26,True,False,False,41.39395384717645
3,2009-03-26 07:32:01,True,False,False,90.73317994046486
4,2009-03-20 03:43:34,True,False,False,70.8119207476579
5,2009-03-13 04:37:47,True,True,False,95.3188775663703
6,2009-03-04 09:15:25,False,False,False,79.47603455054106
7,2009-03-31 08:55:42,True,False,False,59.965402391423325
8,2009-03-07 02:45:53,False,False,False,72.85932161576252
9,2009-03-03 08:55:29,False,False,False,4.556751289674388
10,2009-03-25 03:09:05,True,False,False,51.79574182084383
11,2009-03-01 00:13:01,False,False,False,81.80348207254524
12,2009-03-06 19:23:14,False,False,False,26.207269885457197
13,2009-03-11 07:08:38,True,False,False,85.60785151415372
14,2009-03-07 06:55:57,False,False,False,38.54280712020658
15,2009-03-14 08:36:50,False,False,False,1.4813521911070548
16,2009-03-30 21:24:46,True,False,False,44.15080137559241
17,2009-03-02 07:47:54,False,False,False,48.95817905844558
18,2009-03-16 02:00:11,True,False,False,9.03465358463521
19,2009-03-03 10:14:34,False,False,False,89.84679255667646
20,2009-03-08 16:47:45,False,False,False,86.39907717485842
21,2009-03-10 17:15:53,False,False,False,48.90099914900555
22,2009-03-30 17:33:32,True,False,False,52.48256042790804
23,2009-03-03 11:17:16,False,False,False,5.414825466607464
24,2009-03-18 12:40:03,True,False,False,27.455432683718072
25,2009-03-18 17:20:43,False,False,False,3.8434000502323595
26,2009-03-17 06:01:40,False,False,False,16.2598235233525
27,2009-03-01 05:43:18,False,False,False,35.40602679950048
28,2009-03-01 01:40:27,False,False,False,85.82701006767121
29,2009-03-09 07:47:25,False,False,False,58.14031796087288
30,2009-03-22 07:13:40,True,False,False,4.578606789128314
31,2009-03-18 09:12:00,False,False,False,96.03637328528191
32,2009-03-20 07:27:59,True,True,False,7.666884579047095
33,2009-03-03 21:00:34,False,False,False,83.80955971620111
34,2009-03-25 05:15:48,True,False,False,10.122916793555826
35,2009-03-31 14:15:16,False,False,False,90.62465588791683
36,2009-03-01 15:09:01,False,False,False,19.385194661336925
37,2009-03-25 10:32:22,True,False,False,36.86317685878494
38,2009-03-03 02:07:29,False,False,False,49.36951397386924
39,2009-03-29 16:20:40,True,False,False,38.14538513175373
40,2009-03-22 05:03:26,True,False,False,48.16150831224867
41,2009-03-15 09:04:43,False,False,False,28.66265874404168
42,2009-03-16 14:46:13,False,False,False,59.80654900616174
43,2009-03-31 15:43:16,True,False,False,94.36145229342962
44,2009-03-08 23:45:08,False,False,False,38.47710566347827
45,2009-03-27 14:45:22,True,False,False,21.699080639742274
46,2009-03-14 18:31:38,True,False,False,40.83273394986095
47,2009-03-20 20:36:43,True,False,False,92.18258455403641
48,2009-03-28 14:08:49,True,False,False,67.79393023319346
