id,date,version,value
0,2009-03-29 01:16:34,young fit runners,8.853707579999936
1,2009-03-11 13:33:59,young fit runners,67.29526607100637
2,2009-03-25 07:32:48,less fit and older,83.72255103813848
3,2009-03-23 05:57:30,less fit and older,82.32360537550437
4,2009-03-20 21:43:40,less fit and older,25.289439157604875
5,2009-03-15 11:15:20,young fit runners,65.0131959000362
6,2009-03-01 07:18:22,less fit and older,43.93215157567772
7,2009-03-14 19:46:33,young fit runners,54.125872105617354
8,2009-03-10 18:26:02,less fit and older,87.81087531014916
9,2009-03-12 13:33:46,young fit runners,53.94531317805329
10,2009-03-26 12:49:01,young fit runners,27.127345914916155
11,2009-03-12 11:59:54,less fit and older,6.597530280862074
12,2009-03-19 08:06:59,less fit and older,70.63694082508873
13,2009-03-27 05:02:33,less fit and older,7.066941036036345
14,2009-03-31 06:19:38,young fit runners,42.30941541572045
15,2009-03-19 16:21:15,less fit and older,93.28454011481344
16,2009-03-07 17:00:10,young fit runners,15.879421398769367
17,2009-03-29 14:28:51,less fit and older,42.14286431760519
18,2009-03-17 11:18:19,less fit and older,62.65229756503615
19,2009-03-16 22:19:52,young fit runners,52.391169249204516
20,2009-03-31 05:43:24,less fit and older,94.5802340520911
21,2009-03-28 12:53:02,young fit runners,38.89808322157333
22,2009-03-17 15:49:47,young fit runners,33.88489500173652
23,2009-03-21 17:17:54,young fit runners,53.002289740581745
24,2009-03-06 18:15:52,young fit runners,77.44306976260111
25,2009-03-26 21:34:50,young fit runners,85.95925540260508
26,2009-03-09 20:20:17,young fit runners,96.06923670813856
27,2009-03-19 15:54:18,young fit runners,2.1502404460804536
28,2009-03-05 19:08:58,young fit runners,39.94772908568621
29,2009-03-13 08:27:50,young fit runners,6.742271776467213
30,2009-03-23 08:49:56,less fit and older,34.73164822031195
31,2009-03-25 17:19:43,less fit and older,38.67548571503612
32,2009-03-25 17:21:20,less fit and older,79.032318105768
33,2009-03-30 13:26:48,young fit runners,72.5414549432411
34,2009-03-29 07:45:36,less fit and older,17.537663781778235
35,2009-03-18 14:50:29,young fit runners,10.691463686374092
36,2009-03-07 19:08:35,young fit runners,14.357734436164316
37,2009-03-16 07:58:56,young fit runners,50.11345615621327
38,2009-03-05 04:47:06,less fit and older,82.87429695146531
39,2009-03-08 05:28:33,less fit and older,36.19883953008587
40,2009-03-15 03:53:10,less fit and older,84.51316601006748
41,2009-03-31 09:02:00,young fit runners,27.315995562364613
42,2009-03-05 22:23:16,young fit runners,68.54699917095883
43,2009-03-13 11:18:07,young fit runners,21.87954861683008
44,2009-03-21 12:05:08,young fit runners,94.01052912758372
45,2009-03-13 03:06:58,young fit runners,34.87792918910685
46,2009-03-17 10:45:19,young fit runners,56.48876492003823
47,2009-03-21 17:38:15,young fit runners,68.02175825011199
48,2009-03-06 08:44:11,young fit runners,99.35726171173508
49,2009-03-20 19:24:00,young fit runners,48.67914213413531
50,2009-03-13 15:38:57,young fit runners,6.523721551150031
51,2009-03-16 13:58:15,less fit and older,73.56534986684015
52,2009-03-18 20:17:18,less fit and older,10.867686898331264
53,2009-03-15 07:59:01,less fit and older,76.4239384898188
54,2009-03-04 17:18:48,young fit runners,47.16681080429454
55,2009-03-11 16:10:09,young fit runners,88.53118876508364
56,2009-03-28 23:23:12,young fit runners,98.85066480974267
